State Code,District Code,Sub-Distt,Town/ Village Code,Ward Code,Enumeration Block Code,Level,Name,Total/ Rural/ Urban,No of Households,Total Population - Persons,Total Population - Males,Total Population - Females,Population in the Age Group 0-6 - Persons,Population in the Age Group 0-6 - Males,Population in the Age Group 0-6 Females,Scheduled Castes Population - Persons,Scheduled Castes Population - Males,Scheduled Castes Population - Females,Scheduled Tribes Population - Persons,Scheduled Tribes Population - Males,Scheduled Tribes Population - Females,Literates Population - Persons,Literates Population - Males,Literates Population - Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Total Worker Population - Persons,Total Worker Population - Males,Total Worker Population - Females,Main Worker Population - Persons,Main Worker Population - Males,Main Worker Population - Females,Main Cultivator Population - Persons,Main Cultivator Population - Males,Main Cultivator Population - Females,Main Agricultural Labourers Population - Persons,Main Agricultural Labourers Population - Males,Main Agricultural Labourers Population - Females,Main Household Industries Population - Persons,Main Household Industries Population - Males,Main Household Industries Population - Females,Main Other Workers Population - Persons,Main Other Workers Population - Males,Main Other Workers Population - Females,Marginal Worker Population - Persons,Marginal Worker Population - Males,Marginal Worker Population - Females,Marginal Cultivator Population - Persons,Marginal Cultivator Population - Males,Marginal Cultivator Population - Females,Marginal Agriculture Labourers Population - Persons,Marginal Agriculture Labourers Population - Males,Marginal Agriculture Labourers Population - Females,Marginal Household Industries Population - Persons,Marginal Household Industries Population - Males,Marginal Household Industries Population - Females,Marginal Other Workers Population - Persons,Marginal Other Workers Population - Males,Marginal Other Workers Population - Females,Non Worker Population - Persons,Non Worker Population - Males,Non Worker Population - Females
27,23,0000,42301000,419,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.419,Urban,4170,18776,9751,9025,1057,532,525,162,88,74,60,36,24,14983,8079,6904,3793,1672,2121,7587,6047,1540,7466,5971,1495,20,10,10,6,1,5,181,123,58,7259,5837,1422,121,76,45,1,1,0,0,0,0,23,4,19,97,71,26,11189,3704,7485
27,23,0000,42301000,420,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.420,Urban,16177,80109,43289,36820,5483,2889,2594,766,395,371,297,167,130,67551,37125,30426,12558,6164,6394,36820,28809,8011,36268,28480,7788,26,16,10,12,7,5,416,274,142,35814,28183,7631,552,329,223,2,0,2,7,4,3,34,5,29,509,320,189,43289,14480,28809
27,23,0000,42301000,421,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.421,Urban,27461,132267,70634,61633,10341,5397,4944,11983,5959,6024,314,162,152,108532,60091,48441,23735,10543,13192,55690,42583,13107,53962,41677,12285,52,22,30,18,11,7,1081,897,184,52811,40747,12064,1728,906,822,5,4,1,4,1,3,148,30,118,1571,871,700,76577,28051,48526
27,23,0000,42301000,522,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.522,Urban,18772,97726,57537,40189,11041,5739,5302,4010,2180,1830,575,330,245,68007,42093,25914,29719,15444,14275,40053,35418,4635,38097,33935,4162,73,41,32,26,19,7,539,391,148,37459,33484,3975,1956,1483,473,9,4,5,7,4,3,127,41,86,1813,1434,379,57673,22119,35554
27,23,0000,42301000,523,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.523,Urban,12102,61477,34277,27200,5376,2807,2569,2376,1176,1200,140,62,78,50405,29105,21300,11072,5172,5900,23765,20234,3531,22695,19472,3223,46,23,23,6,5,1,439,314,125,22204,19130,3074,1070,762,308,2,2,0,1,1,0,99,43,56,968,716,252,37712,14043,23669
27,23,0000,42301000,524,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.524,Urban,4516,23425,12401,11024,2153,1173,980,5125,2526,2599,153,86,67,18945,10486,8459,4480,1915,2565,8188,6034,2154,7550,5677,1873,5,5,0,17,14,3,111,72,39,7417,5586,1831,638,357,281,4,2,2,4,4,0,38,8,30,592,343,249,15237,6367,8870
27,23,0000,42301000,525,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.525,Urban,6302,38164,21064,17100,4301,2215,2086,178,100,78,53,31,22,29728,16749,12979,8436,4315,4121,13136,12055,1081,12736,11716,1020,14,8,6,3,2,1,137,95,42,12582,11611,971,400,339,61,0,0,0,0,0,0,23,8,15,377,331,46,25028,9009,16019
27,23,0000,42301000,526,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.526,Urban,8662,48485,28775,19710,4827,2484,2343,1995,996,999,311,156,155,33054,21383,11671,15431,7392,8039,20874,18844,2030,20295,18462,1833,32,24,8,11,10,1,1203,781,422,19049,17647,1402,579,382,197,1,0,1,0,0,0,143,35,108,435,347,88,27611,9931,17680
27,23,0000,42301000,527,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.527,Urban,30616,171058,96813,74245,18226,9535,8691,5910,2948,2962,272,164,108,130238,75970,54268,40820,20843,19977,65257,57350,7907,62898,55704,7194,56,42,14,41,32,9,2218,1767,451,60583,53863,6720,2359,1646,713,10,3,7,12,11,1,279,132,147,2058,1500,558,105801,39463,66338
27,23,0000,42301000,628,0,WARD,Greater Mumbai (M Corp.) (Part) - Ward No.628,Urban,24145,114174,61207,52967,9501,5073,4428,4181,2154,2027,398,212,186,97220,54227,42993,16954,6980,9974,41768,33721,8047,39848,32437,7411,34,25,9,22,16,6,906,643,263,38886,31753,7133,1920,1284,636,3,3,0,12,9,3,207,83,124,1698,1189,509,72406,27486,44920
